"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000159228",379.169103418378,0.984356408943068,0.115312294343697,8.53643936707318,1.38421265684003e-17,2.99833644449236e-15,"CBR1"
"ENSG00000163220",448.23905312438,1.89610642441754,0.222188994485581,8.53375491800335,1.41672795540839e-17,3.03981703941589e-15,"S100A9"
"ENSG00000183943",394.460800100185,0.540829978532395,0.0634157250891796,8.52832602279391,1.48480589861572e-17,3.15611451945009e-15,"PRKX"
"ENSG00000188385",31.7480296720491,1.38952167029901,0.163212355060286,8.51358140004636,1.68642013815463e-17,3.55147589094343e-15,"JAKMIP3"
"ENSG00000188833",31.56827195624,1.22887688122949,0.144402454202675,8.5100830731361,1.73808782015418e-17,3.62670361298961e-15,"ENTPD8"
"ENSG00000154277",70.4185930640635,1.5910541747922,0.187324190058595,8.49358630241252,2.00356569015018e-17,4.1426452778887e-15,"UCHL1"
"ENSG00000101098",19.4695131108972,-1.3433228603848,0.159340386406232,-8.43052342649681,3.44122485140619e-17,7.01805536246479e-15,"RIMS4"
"ENSG00000114248",46.2889486338808,1.51609497086988,0.179844688041814,8.43002363526798,3.45595410040475e-17,7.01805536246479e-15,"LRRC31"
"ENSG00000186529",211.814957280752,1.04607755433564,0.124129747101483,8.4272914330552,3.53758036296391e-17,7.12024139603993e-15,"CYP4F3"
"ENSG00000137573",662.808287312128,-0.766422876640792,0.0913133944999574,-8.39332368310051,4.7258817640801e-17,9.42854867037173e-15,"SULF1"
"ENSG00000166828",205.274207618087,-1.04096165616696,0.124174750319565,-8.38303804507784,5.15787952781557e-17,1.02009401722293e-14,"SCNN1G"
"ENSG00000077232",1981.31359665515,0.6860922310094,0.0818902471325305,8.37819221499032,5.3746819730662e-17,1.05380833444326e-14,"DNAJC10"
"ENSG00000203472",45.5490396471064,1.03889807088678,0.124080399115607,8.37278150531115,5.62738873358483e-17,1.09392589193721e-14,"ENSG00000203472"
